Total Read Counts,Salmon RF,RSEM,eXpress,eXpress (+50 batch EM), Salmon, Salmon FM
30,4816300,3777636,558276,550996,4634284,6630092
60,5145912,6656708,558232,551588,4988512,9884828
90,5327768,9462800,558652,548800,4650592,11153816
120,5233844,11906332,560552,549840,4685592,12286496
